token,tx_hash,block,timestamp,from_address,to_address,value_tokens,value_usd,price_usd
UNI,0x88cfd4618a2d422aaeb215e946e5176b2a6ef289080d32e0d4bfcf0cf1caf070,24642740,2026-03-13 00:00:59,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0x74da35e09d904eb63ba9de2f6e6be4f8cfe7771c,51853.65111415583,212599.96956803888,4.1
UNI,0xf39fba32cd745e03dee99406019dc06ab96b81ac3708e3e9f408c23bb50ad2e8,24642633,2026-03-12 23:39:23,0x4a2d57d669f2194fa7b5df619cba9f33ccea26bd,0x4f90356dbc2286b4be8cf14738b05e3a9e9c0c7e,87402.568,358350.5288,4.1
UNI,0x54a7b73ebcc59b9a74abd209ce81892619e09fa5d3f58ecfcbad0b16cc4091ce,24642566,2026-03-12 23:25:59,0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,0x51c72848c68a965f66fa7a88855f9f7784502a7f,28668.0,117538.79999999999,4.1
UNI,0x09405db0e7a1ed76571489b2296d0248d927e44f95cc1b3d7c66946c5f569d4d,24642553,2026-03-12 23:23:23,0x390f3504683669d68561fd745d1616bd3bf86870,0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,30001.8739,123007.68298999999,4.1
UNI,0xd292031a1173ccc2d97d78c9928c2c9afe51188dadb1cde9a51107d17516aaa8,24642503,2026-03-12 23:13:23,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0x390f3504683669d68561fd745d1616bd3bf86870,30001.8739,123007.68298999999,4.1
UNI,0x94d75c8fddd616d8eb1447143ffcd33824c96e871b614a0870bbea4d9d836fe0,24642224,2026-03-12 22:17:11,0x3c5d22fa3d916f8414141f4a277f59159091f366,0x2d610e4eceac64e46226b70613b6d7f81e719bc2,138090.97021484,566172.9778808439,4.1
LINK,0x2d09ecc1833b81797dc8a4da4aa493af259048fbb4c0c26f61d8ee30da6dbd55,24641917,2026-03-12 21:15:11,0x9b7f4b2638006add6b50db3a6c2618cec571b703,0x000000000004444c5dc75cb358380d2e3de08a90,21082.852710834686,196070.5302107626,9.3
LINK,0x2d09ecc1833b81797dc8a4da4aa493af259048fbb4c0c26f61d8ee30da6dbd55,24641917,2026-03-12 21:15:11,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0x9b7f4b2638006add6b50db3a6c2618cec571b703,21082.852710834686,196070.5302107626,9.3
LINK,0x54bf321010c472cb6c1f5219fcd48074711ff92b5ffd20db30b5427adeaeb8b2,24641870,2026-03-12 21:05:47,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x51c72848c68a965f66fa7a88855f9f7784502a7f,12811.0,119142.3,9.3
LINK,0x50487579826820c94a00fddb5ba1e46bbff523b32e7a874b9033f6721e103eeb,24641737,2026-03-12 20:38:59,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x51c72848c68a965f66fa7a88855f9f7784502a7f,14951.0,139044.30000000002,9.3
LINK,0x4488a2d4f8b41d6c1355e0ed1d1a3be2c9d7807e0d20ee5d0072e90c15a3f9c2,24641737,2026-03-12 20:38:59,0x2d610e4eceac64e46226b70613b6d7f81e719bc2,0x766f8d757ce53a2d20dffd0daf072ef39f449cdf,13000.0,120900.00000000001,9.3
LINK,0xafc71b79a7b2ab74fb689b419a5bf15982eece6071d5b3fb8b947a24ff188311,24641726,2026-03-12 20:36:47,0x9b7f4b2638006add6b50db3a6c2618cec571b703,0x000000000004444c5dc75cb358380d2e3de08a90,30510.879283316233,283751.177334841,9.3
LINK,0xafc71b79a7b2ab74fb689b419a5bf15982eece6071d5b3fb8b947a24ff188311,24641726,2026-03-12 20:36:47,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0x9b7f4b2638006add6b50db3a6c2618cec571b703,30510.879283316233,283751.177334841,9.3
LINK,0xe87e1785ed047be2dcb24e2ff4a1d76b2cf922ffd42b2c147a1db0db07053116,24641695,2026-03-12 20:30:23,0xb033a3844ce4bfe19c09af89913c6f5b4cdfe0e1,0x28c6c06298d514db089934071355e5743bf21d60,125000.0,1162500.0,9.3
LINK,0x0e82b6b6faf6f8c8a90a1eb945b585c139ffcabba7f30f43fef44b8e27b677a5,24641669,2026-03-12 20:25:11,0xaea6291cb48d9675b120f74e2f0b0de01db47a00,0xb033a3844ce4bfe19c09af89913c6f5b4cdfe0e1,125000.0,1162500.0,9.3
UNI,0x877c771ea7d9ecda1fcc03bf0868e5c0965a49b267f8b673b129a17c835ecbba,24641641,2026-03-12 20:19:23,0xcf257a06ef9e11f42758aedb7df85619a500df00,0xab81bd984db1b6a62444a02f48a06a1d6878535c,238293.992832834,977005.3706146192,4.1
UNI,0x7063687098d14bb73291a44fc93aba02cb6466b4d27dce8ac6e42015ef6e3bb5,24641605,2026-03-12 20:12:11,0xd283e0638b5cfa926014a6d81603f822b5755c92,0xec0d1de079dcbb5418bb69aee6d0b698f93b3c3b,357620.2998992,1466243.2295867198,4.1
LINK,0xc955ba5787cedc5d1b13d51168e97b99d692cdda303b6bacda359b1e388cf021,24641580,2026-03-12 20:07:11,0x7f604d597c15b2e2f60dc645844f68b1d781b752,0xaea6291cb48d9675b120f74e2f0b0de01db47a00,123899.65,1152266.745,9.3
UNI,0xa58eb33e1629eb12c9f415f377df75a1b9b0caf680648254989a183195700b4c,24641376,2026-03-12 19:26:23,0x1ce50cd814aa98d918258892434b6c87febfc758,0x7f604d597c15b2e2f60dc645844f68b1d781b752,40000.0,164000.0,4.1
UNI,0x35bcaa900865d667c6214ea1e2330b8af3343aa95ee00a81ad6fa8f0b675a8cc,24641371,2026-03-12 19:25:11,0xaea6291cb48d9675b120f74e2f0b0de01db47a00,0x1ce50cd814aa98d918258892434b6c87febfc758,40000.0,164000.0,4.1
USDC,0xb47d71a2e8dcdf8930742269da6c0f6fae6ad8f7b5aaef0d344304933d84a822,24641274,2026-03-12 19:05:35,0xc9f9f694ae147b1333c4f53266c5ccd5c6e4c04f,0x285576a661dfd9d05092280fba8e87a87496ad1d,232312.851104,232291.01369599623,0.999906
USDC,0x44754f6f3cd6da0e0944757157f10fff1da212ff4a862562ba5723c7751149e1,24641273,2026-03-12 19:05:23,0x3c9fb15699babc313db9d5ab96fed26c6a8a3b14,0x92733db91015070df68fb4d250acbab2034f1e5a,500000.0,499953.0,0.999906
USDC,0xbd1ab5886fca3a15d8435616738bdd6409c4f584a8fd450446cd840a21cf18e7,24641272,2026-03-12 19:05:11,0x3312cc371fe0dd5171878630a1e5cf69778e8fa5,0x2c158bc456e027b2affccadf1bdbd9f5fc4c5c8c,113381.93,113371.27209857998,0.999906
USDC,0xbd1ab5886fca3a15d8435616738bdd6409c4f584a8fd450446cd840a21cf18e7,24641272,2026-03-12 19:05:11,0x2c158bc456e027b2affccadf1bdbd9f5fc4c5c8c,0x2d5805a423d6ce771f06972ad4499f120902631a,113381.93,113371.27209857998,0.999906
USDC,0xbd1ab5886fca3a15d8435616738bdd6409c4f584a8fd450446cd840a21cf18e7,24641272,2026-03-12 19:05:11,0x2d5805a423d6ce771f06972ad4499f120902631a,0xceee0b7c44ae35ead2cdb0d6bd7411833803aa56,113317.577008,113306.92515576123,0.999906
USDC,0xa3e82e732cfc071c961521863804fa995f5fface571a510ef30e2483f0592a46,24641272,2026-03-12 19:05:11,0x0000000000000000000000000000000000000000,0xe8332555fefff65b2464b863e37a05c06976d7fb,200019.99,200001.18812093997,0.999906
USDT,0x9d17683fb352618053d75c9c5c557c89d0b9144b260b9a9de4ca4915bc21cccd,24641270,2026-03-12 19:04:47,0xffe15ff598e719d29dfe5e1d60be1a5521a779ae,0xee1bf4d7c53af2beafc7dc1dcea222a8c6d87ad9,4735533.712475,4735533.712475,1.0
USDC,0x315ac2eb0d1b1099095e20f83c9137927a09d701385968790416fd60c7c11260,24641270,2026-03-12 19:04:47,0x445f16314284b43dfa1fd3cd77b9dea4a1bebd97,0x65c340eb0688d8f8b64e9c6d580f312a97b615d8,207730.69,207711.16331514,0.999906
USDC,0x9a521649dc379fbac2c44e4dbaf1f7424c8fcca327b991195c7c3d422dc0f224,24641270,2026-03-12 19:04:47,0x445f16314284b43dfa1fd3cd77b9dea4a1bebd97,0x65c340eb0688d8f8b64e9c6d580f312a97b615d8,990099.0,990005.930694,0.999906
USDC,0x2d31faa17e96a567a5cbe2d9851680b66b9ee50c9ccbd2e3f66048dcd45fffd1,24641270,2026-03-12 19:04:47,0x32d7d404bcb35640b6784623c3060d52e8fa6eb7,0x33494ea13c8b5b3caf53dadfa75f5e444b7aaf18,101000.01,100990.51599906,0.999906
USDC,0x294a8f1a72b1b5159bfc7030a3c2ae5208d5f448d63c6bb1d007075ac052238c,24641270,2026-03-12 19:04:47,0x6a2abff960b663462cbc46a2cfcf85063fe8ae14,0xfd78ee919681417d192449715b2594ab58f5d002,106807.13,106797.09012978,0.999906
USDC,0x294a8f1a72b1b5159bfc7030a3c2ae5208d5f448d63c6bb1d007075ac052238c,24641270,2026-03-12 19:04:47,0xfd78ee919681417d192449715b2594ab58f5d002,0x0000000000000000000000000000000000000000,106807.13,106797.09012978,0.999906
USDT,0xdb20c40cd228b4f7e8814a12590c6032d7817d2dd35a5945b73711a9a747c8fc,24641269,2026-03-12 19:04:35,0xa30533976d440759331d1bda22d9029d3e584000,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,100000.000099,100000.000099,1.0
USDC,0x03c53b139513a5bc4acc42aae75eff94dd2e825ae836d2b3c39061917e6c0092,24641269,2026-03-12 19:04:35,0x445f16314284b43dfa1fd3cd77b9dea4a1bebd97,0x65c340eb0688d8f8b64e9c6d580f312a97b615d8,990099.0,990005.930694,0.999906
USDC,0x88249e4d0da97cea57be3f22da1524875f706093faeb01ddd7319587ac8564f5,24641269,2026-03-12 19:04:35,0x445f16314284b43dfa1fd3cd77b9dea4a1bebd97,0x65c340eb0688d8f8b64e9c6d580f312a97b615d8,990099.0,990005.930694,0.999906
USDC,0xf41296a46c6962e681efd28d99afd3faebf52a435802a62a3147a3cdc3537679,24641269,2026-03-12 19:04:35,0x445f16314284b43dfa1fd3cd77b9dea4a1bebd97,0xd77743524bb28522ded41418e04da6ae11aa7d7e,492852.662278,492806.3341277458,0.999906
USDC,0x6433d15ff4856db47a5a2bb3bb4d41c7659da25cb6163fb71af5fc555f2ff4c0,24641269,2026-03-12 19:04:35,0x32d7d404bcb35640b6784623c3060d52e8fa6eb7,0x64de2580db3f3a2f476a9747a53fdea53f28f24c,303000.05,302971.5679953,0.999906
USDC,0xd2db8db0e19de4636126249c83d42db359c811d8640faa56e496c1e698d20b89,24641268,2026-03-12 19:04:23,0x3b4d794a66304f130a4db8f2551b0070dfcf5ca7,0x6a2abff960b663462cbc46a2cfcf85063fe8ae14,106807.13,106797.09012978,0.999906
USDC,0x4a3886d12cab829d22f4536bfa70b9ae4cb60d19155909228d9808072614d4c7,24641268,2026-03-12 19:04:23,0x5c8fdfb0372fdd7d334509ceb9f0d5f5759bdb06,0x53caa750e07d00a9423e0cb47d385df95eb4a254,400000.0,399962.39999999997,0.999906
USDC,0x4c648237e7995f0a834c9513fb40819faad990b82165866fd8b3c88642412a1a,24641268,2026-03-12 19:04:23,0x205b1d3af588c53506fde81f8a1ac5ba28e0a6d9,0xfb3a175ce3cb33d9f464a3c5ea0b834dae2aaaf6,900000.0,899915.4,0.999906
USDT,0xb0df1de9a0932c795f00a0d765a24624c2f9d13a2e2a6cfc7e06dbfc366b714e,24641267,2026-03-12 19:04:11,0xaa8ba7d4611437141192e7ceced531bc0a133efb,0x7dafba1d69f6c01ae7567ffd7b046ca03b706f83,3942945.433936,3942945.433936,1.0
USDC,0xcc38d112070e657bfc9b00c3d5252ddc688ebd107e5dcb57700d601e551db8c5,24641267,2026-03-12 19:04:11,0x367c42a6f261ec54ffbecf5f41c226be12a3dca0,0xe3a46f6853a2f314b5ea98ca5d17cd2a1a90ecef,500005.0,499957.99953,0.999906
USDC,0x9e4093b6a949dc6cfc3a1bf601667cf7c6a28d2b3c2cc3c1f652f45c88f2e9bc,24641267,2026-03-12 19:04:11,0xca8c67d90bec1962e8fa334d687a1ceddb681f4e,0x05ff6964d21e5dae3b1010d5ae0465b3c450f381,2025188.859405,2024998.4916522158,0.999906
USDT,0xa1879965626fa17899b8ec2a871e83d6e11555bc957ab36707c030cc6d3510dc,24641266,2026-03-12 19:03:59,0xa03400e098f4421b34a3a44a1b4e571419517687,0xd9a2205d89d1cfee01f739da0dffdf6ade30de07,695250.96504,695250.96504,1.0
USDC,0x8abacded5268e5a88cd1354ed489752210bd03b3e39d6d498ed133c9f82520c6,24641266,2026-03-12 19:03:59,0x9365ab383baf76991c6634b7aac56f33b1aa4419,0x52ab78e7a3c16aa6900205a9ca708ca274c5c42f,131795.607548,131783.21876089048,0.999906
USDC,0x7d0a283791bf430ec5318db580b382c0acfdb0bab31b4c7f5b694346ae365d8e,24641265,2026-03-12 19:03:47,0xa8500344d1927100a55174c290f11449bfd28d59,0x58edf78281334335effa23101bbe3371b6a36a51,124550.001908,124538.29420782065,0.999906
USDC,0x5ac748bef2ea44f32b320c8bb3b37ea3561d6903c6a4ccde38acb0b61badc6ac,24641265,2026-03-12 19:03:47,0x55fe002aeff02f77364de339a1292923a15844b8,0x47a5c29f1b18c78a22851d635b732aeba4d40aaf,2500000.0,2499765.0,0.999906
